pointId,modelKind,modeIndex,classification,classificationConfidence,dominantGroup,dominantGroupScore,secondGroupScore,longitudinalRigidBodyScore,lateralDirectionalRigidBodyScore,symmetricNacelleScore,differentialNacelleScore,actuatorRateScore,pathologicalEigenvectors,modeTrackingStatus
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,13,MIXED_OR_UNCERTAIN_MODE,LOW,DIFFERENTIAL_NACELLE,1,0,0,0,0,1,0.5,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B75_V080,NINE_STATE_PHYSICAL_CONTROL,1,HEADING_KINEMATIC_INTEGRATOR,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,0,0,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B75_V080,NINE_STATE_PHYSICAL_CONTROL,2,LATERAL_DIRECTIONAL_OSCILLATORY_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.07231181755344e-26,1.07231181755344e-26,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B75_V080,NINE_STATE_PHYSICAL_CONTROL,3,LATERAL_DIRECTIONAL_OSCILLATORY_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.07231181755344e-26,1.07231181755344e-26,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B75_V080,NINE_STATE_PHYSICAL_CONTROL,4,LATERAL_DIRECTIONAL_APERIODIC_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,2.67877614201545e-27,2.67877614201545e-27,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B75_V080,NINE_STATE_PHYSICAL_CONTROL,5,LONGITUDINAL_OSCILLATORY_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,2.68316891746882e-27,1,2.68316891746882e-27,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B75_V080,NINE_STATE_PHYSICAL_CONTROL,6,LONGITUDINAL_OSCILLATORY_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,2.68316891746882e-27,1,2.68316891746882e-27,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B75_V080,NINE_STATE_PHYSICAL_CONTROL,7,LATERAL_DIRECTIONAL_APERIODIC_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,8.65384641428421e-24,8.65384641428421e-24,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B75_V080,NINE_STATE_PHYSICAL_CONTROL,8,LONGITUDINAL_APERIODIC_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,2.64774981331882e-26,1,2.64774981331882e-26,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B75_V080,NINE_STATE_PHYSICAL_CONTROL,9,LONGITUDINAL_APERIODIC_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,2.25282447474078e-24,1,2.25282447474078e-24,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
